"style","artist","song","label","bpm_exact","preview_url","release_date","duration_sec","country","city","artist_bio","artist_genre","artist_profile_hint","source","genre_evidence_url","source_url","track_url","deezer_track_id","deezer_track_url","cover_art_url","youtube_track_url","source_type","source_tags","energy_band","catalog_role","status","confidence","source_note"
"acid_trance","Art of Trance","Easter Island (Cygnus-X Remix)","Easter Island","","https://cdnt-preview.dzcdn.net/api/1/1/a/f/0/0/af02f6f2d1ef22f35b5cd830f4477ef0.mp3?hdnea=exp=1787243666~acl=/api/1/1/a/f/0/0/af02f6f2d1ef22f35b5cd830f4477ef0.mp3*~data=user_id=0,application_id=42~hmac=9f4e82d1a721f0f6cc8daa4d4275ca4c40de8d63f9959682b04c76f7d893733b","","415","","","","Acid Trance","Art of Trance foi curado para ampliar a diversidade reproduzível de Acid Trance.","low_coverage_subgenre_expansion_v21_20260820","","https://www.deezer.com/track/15269818","https://www.deezer.com/track/15269818","15269818","https://www.deezer.com/track/15269818","https://cdn-images.dzcdn.net/images/cover/5284b222e74a0f83f3ae4e66bf3e91b3/500x500-000000-80-0-0.jpg","","verified_low_coverage_subgenre_depth","acid_trance;Acid Trance;curated_artist;playable_depth;low_coverage_subgenre_expansion_v21_20260820","catalog_depth","low_coverage_style_repair","published","high","Artista curado para Acid Trance; artista exato, gravação e prévia verificados no Deezer."
"acid_trance","Art of Trance","Madagascar","The Complete 'Madagascar'","","https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a2/26/74/a2267487-55ad-d868-b320-cfe1f2786abf/mzaf_13617839792342643044.plus.aac.p.m4a","1998-01-10","444","","","","Acid Trance","Art of Trance foi curado para ampliar a diversidade reproduzível de Acid Trance.","low_coverage_subgenre_expansion_v21_20260820","","https://music.apple.com/us/album/madagascar/486221065?i=486221066&uo=4","https://music.apple.com/us/album/madagascar/486221065?i=486221066&uo=4","97361308","https://www.deezer.com/track/97361308","https://is1-ssl.mzstatic.com/image/thumb/Music/1f/bd/c3/mzi.ybyhrhnx.jpg/600x600bb.jpg","","verified_low_coverage_subgenre_depth","acid_trance;Acid Trance;curated_artist;playable_depth;low_coverage_subgenre_expansion_v21_20260820;itunes_verified;deezer_verified","catalog_depth","low_coverage_style_repair","published","high","Artista curado para Acid Trance; artista exato, gravação e prévia verificados em Apple Music e Deezer."
"acid_trance","Art of Trance","Octopus","Octopus","","https://cdnt-preview.dzcdn.net/api/1/1/e/8/1/0/e81f4e88c1092a64df63bbdabbd6737d.mp3?hdnea=exp=1787243666~acl=/api/1/1/e/8/1/0/e81f4e88c1092a64df63bbdabbd6737d.mp3*~data=user_id=0,application_id=42~hmac=e1e8f73d70b10d0cdd7193c609ca6613fb0df7108da2e22010bb70162d52013b","","460","","","","Acid Trance","Art of Trance foi curado para ampliar a diversidade reproduzível de Acid Trance.","low_coverage_subgenre_expansion_v21_20260820","","https://www.deezer.com/track/3042901941","https://www.deezer.com/track/3042901941","3042901941","https://www.deezer.com/track/3042901941","https://cdn-images.dzcdn.net/images/cover/5626f35e1cc3312be43112ae8c129abb/500x500-000000-80-0-0.jpg","","verified_low_coverage_subgenre_depth","acid_trance;Acid Trance;curated_artist;playable_depth;low_coverage_subgenre_expansion_v21_20260820","catalog_depth","low_coverage_style_repair","published","high","Artista curado para Acid Trance; artista exato, gravação e prévia verificados no Deezer."
"acid_trance","Art of Trance","Stealth","Voice of Earth","","https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a1/87/5e/a1875eb9-5df6-a87b-3148-053a89ba8805/mzaf_10568968868892658809.plus.aac.p.m4a","1999-10-11","430","","","","Acid Trance","Art of Trance foi curado para ampliar a diversidade reproduzível de Acid Trance.","low_coverage_subgenre_expansion_v21_20260820","","https://music.apple.com/us/album/stealth/486202244?i=486202259&uo=4","https://music.apple.com/us/album/stealth/486202244?i=486202259&uo=4","15269633","https://www.deezer.com/track/15269633","https://is1-ssl.mzstatic.com/image/thumb/Music/12/ba/eb/mzi.vnjjspqg.jpg/600x600bb.jpg","","verified_low_coverage_subgenre_depth","acid_trance;Acid Trance;curated_artist;playable_depth;low_coverage_subgenre_expansion_v21_20260820;itunes_verified;deezer_verified","catalog_depth","low_coverage_style_repair","published","high","Artista curado para Acid Trance; artista exato, gravação e prévia verificados em Apple Music e Deezer."
"acid_trance","Hardfloor","Holy Guacamole","Data Mining, Vol. Two","","https://cdnt-preview.dzcdn.net/api/1/1/a/a/c/0/aacd1e2b3cc5d9655c0e05fc51ce08ca.mp3?hdnea=exp=1787243668~acl=/api/1/1/a/a/c/0/aacd1e2b3cc5d9655c0e05fc51ce08ca.mp3*~data=user_id=0,application_id=42~hmac=569a4c3665a0d85bef8c86ac6bf2e57eeea2e54b82475121c225869accb0a526","","440","","","","Acid Trance","Hardfloor foi curado para ampliar a diversidade reproduzível de Acid Trance.","low_coverage_subgenre_expansion_v21_20260820","","https://www.deezer.com/track/1889647647","https://www.deezer.com/track/1889647647","1889647647","https://www.deezer.com/track/1889647647","https://cdn-images.dzcdn.net/images/cover/f92ea2146c5cfa58dc443dd3674cf543/500x500-000000-80-0-0.jpg","","verified_low_coverage_subgenre_depth","acid_trance;Acid Trance;curated_artist;playable_depth;low_coverage_subgenre_expansion_v21_20260820","catalog_depth","low_coverage_style_repair","published","high","Artista curado para Acid Trance; artista exato, gravação e prévia verificados no Deezer."
"acid_trance","Hardfloor","Lost In the Silverbox","TB Resucitation","","https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/fe/c9/3e/fec93e89-63e1-c5a8-582b-8c8dcd52ebcb/mzaf_7120007782972297517.plus.aac.p.m4a","1993-05-01","495","","","","Acid Trance","Hardfloor foi curado para ampliar a diversidade reproduzível de Acid Trance.","low_coverage_subgenre_expansion_v21_20260820","","https://music.apple.com/us/album/lost-in-the-silverbox/158241259?i=158241260&uo=4","https://music.apple.com/us/album/lost-in-the-silverbox/158241259?i=158241260&uo=4","2480445","https://www.deezer.com/track/2480445","https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/01/1f/5a/011f5a11-874c-2853-4fea-0700f1dd6da9/dj.yajlknog.jpg/600x600bb.jpg","","verified_low_coverage_subgenre_depth","acid_trance;Acid Trance;curated_artist;playable_depth;low_coverage_subgenre_expansion_v21_20260820;itunes_verified;deezer_verified","catalog_depth","low_coverage_style_repair","published","high","Artista curado para Acid Trance; artista exato, gravação e prévia verificados em Apple Music e Deezer."
"acid_trance","Hardfloor","Mesmerizing Liquids","Two Guys Three Boxes","","https://cdnt-preview.dzcdn.net/api/1/1/9/6/d/0/96dd72b85bae5b710d51e08238717c3e.mp3?hdnea=exp=1787243668~acl=/api/1/1/9/6/d/0/96dd72b85bae5b710d51e08238717c3e.mp3*~data=user_id=0,application_id=42~hmac=a4891f606351712a61c984464ad0eece4232e818bc69e1600c92425eb5f71a96","","435","","","","Acid Trance","Hardfloor foi curado para ampliar a diversidade reproduzível de Acid Trance.","low_coverage_subgenre_expansion_v21_20260820","","https://www.deezer.com/track/7448051","https://www.deezer.com/track/7448051","7448051","https://www.deezer.com/track/7448051","https://cdn-images.dzcdn.net/images/cover/297f7ea78d4f3903a10a90762e35d749/500x500-000000-80-0-0.jpg","","verified_low_coverage_subgenre_depth","acid_trance;Acid Trance;curated_artist;playable_depth;low_coverage_subgenre_expansion_v21_20260820","catalog_depth","low_coverage_style_repair","published","high","Artista curado para Acid Trance; artista exato, gravação e prévia verificados no Deezer."
"acid_trance","Hardfloor","The Art of Acid","The Art of Acid","","https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/65/42/d3/6542d372-cb65-9186-ad91-a99112f07dc5/mzaf_2993239143779605488.plus.aac.p.m4a","2014-04-25","500","","","","Acid Trance","Hardfloor foi curado para ampliar a diversidade reproduzível de Acid Trance.","low_coverage_subgenre_expansion_v21_20260820","","https://music.apple.com/us/album/the-art-of-acid/844170150?i=844170277&uo=4","https://music.apple.com/us/album/the-art-of-acid/844170150?i=844170277&uo=4","77380051","https://www.deezer.com/track/77380051","https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/70/43/6e/70436eb6-6872-df8f-20d2-7cdc7e021b5f/4260075410999_1448.jpg/600x600bb.jpg","","verified_low_coverage_subgenre_depth","acid_trance;Acid Trance;curated_artist;playable_depth;low_coverage_subgenre_expansion_v21_20260820;itunes_verified;deezer_verified","catalog_depth","low_coverage_style_repair","published","high","Artista curado para Acid Trance; artista exato, gravação e prévia verificados em Apple Music e Deezer."
"acid_trance","Kai Tracid","Drift Deep Into Your Own Thoughts","Contemplate The Reason You Exist","","https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/07/6c/32/076c3292-1903-654f-ddfc-c71aa1e6c152/mzaf_3957235524810260366.plus.aac.p.m4a","2005-02-28","476","","","","Acid Trance","Kai Tracid foi curado para ampliar a diversidade reproduzível de Acid Trance.","low_coverage_subgenre_expansion_v21_20260820","","https://music.apple.com/us/album/drift-deep-into-your-own-thoughts/438686775?i=438686851&uo=4","https://music.apple.com/us/album/drift-deep-into-your-own-thoughts/438686775?i=438686851&uo=4","12254760","https://www.deezer.com/track/12254760","https://is1-ssl.mzstatic.com/image/thumb/Music/b5/7c/39/mzi.ulkbuvtg.jpg/600x600bb.jpg","","verified_low_coverage_subgenre_depth","acid_trance;Acid Trance;curated_artist;playable_depth;low_coverage_subgenre_expansion_v21_20260820;itunes_verified;deezer_verified","catalog_depth","low_coverage_style_repair","published","high","Artista curado para Acid Trance; artista exato, gravação e prévia verificados em Apple Music e Deezer."
"acid_trance","Kai Tracid","Life Is Too Short","Trance & Acid","","https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/3b/eb/1e/3beb1e76-89c5-49be-b8e1-d55fce21689f/mzaf_6332490713790721930.plus.aac.p.m4a","2001-01-28","221","","","","Acid Trance","Kai Tracid foi curado para ampliar a diversidade reproduzível de Acid Trance.","low_coverage_subgenre_expansion_v21_20260820","","https://music.apple.com/us/album/life-is-too-short/438738762?i=438738836&uo=4","https://music.apple.com/us/album/life-is-too-short/438738762?i=438738836&uo=4","12254668","https://www.deezer.com/track/12254668","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/c9/f9/df/c9f9df6c-8248-2d10-d4a2-270743cb704e/mzi.cozesvdo.jpg/600x600bb.jpg","","verified_low_coverage_subgenre_depth","acid_trance;Acid Trance;curated_artist;playable_depth;low_coverage_subgenre_expansion_v21_20260820;itunes_verified;deezer_verified","catalog_depth","low_coverage_style_repair","published","high","Artista curado para Acid Trance; artista exato, gravação e prévia verificados em Apple Music e Deezer."
