"style","artist","song","label","bpm_exact","bpm_text","release_date","duration_sec","country","city","source_album","source_url","track_url","external_track_id","source_type","source_tags","artist_bio","artist_profile_hint","primary_social_url","social_discovery_links","label_links","cover_art_url","album_keywords","energy_band","catalog_role","status","confidence","source_note"
"psycore","Acid Combo & Popek","We Are Inside","Black Out Records","190","190 BPM in Bandcamp title","2026-04-20","402","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/we-are-inside-190","bc:2321669869","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Acid Combo & Popek entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Acid Combo & Popek quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia extreme_psycore.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Acid%20Combo%20%26%20Popek;https://soundcloud.com/search?q=Acid%20Combo%20%26%20Popek;https://www.youtube.com/results?search_query=Acid%20Combo%20%26%20Popek%20psycore;https://www.google.com/search?q=Acid%20Combo%20%26%20Popek%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","extreme_psycore","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
"psycore","Aliensynthesis","Nexo Void","Black Out Records","181","181 BPM in Bandcamp title","2026-04-20","501","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/nexo-void-181","bc:3984564584","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Aliensynthesis entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Aliensynthesis quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia high_velocity_darkpsy.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Aliensynthesis;https://soundcloud.com/search?q=Aliensynthesis;https://www.youtube.com/results?search_query=Aliensynthesis%20psycore;https://www.google.com/search?q=Aliensynthesis%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","high_velocity_darkpsy","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
"psycore","Benido","Space Bandits","Black Out Records","196","196 BPM in Bandcamp title","2026-04-20","401","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/space-bandits-196","bc:3446704727","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Benido entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Benido quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia extreme_psycore.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Benido;https://soundcloud.com/search?q=Benido;https://www.youtube.com/results?search_query=Benido%20psycore;https://www.google.com/search?q=Benido%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","extreme_psycore","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
"psycore","Benjek","Beatfighter","Black Out Records","183","183 BPM in Bandcamp title","2026-04-20","624","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/beatfighter-183","bc:3888130554","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Benjek entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Benjek quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia high_velocity_darkpsy.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Benjek;https://soundcloud.com/search?q=Benjek;https://www.youtube.com/results?search_query=Benjek%20psycore;https://www.google.com/search?q=Benjek%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","high_velocity_darkpsy","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
"psycore","Glattech","Looping Universe","Black Out Records","194","194 BPM in Bandcamp title","2026-04-20","378","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/looping-universe-194","bc:1736179853","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Glattech entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Glattech quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia extreme_psycore.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Glattech;https://soundcloud.com/search?q=Glattech;https://www.youtube.com/results?search_query=Glattech%20psycore;https://www.google.com/search?q=Glattech%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","extreme_psycore","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
"psycore","Horcrux","Neutralize","Black Out Records","200","200 BPM in Bandcamp title","2026-04-20","516","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/neutralize-200","bc:2564477536","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Horcrux entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Horcrux quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia extreme_psycore.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Horcrux;https://soundcloud.com/search?q=Horcrux;https://www.youtube.com/results?search_query=Horcrux%20psycore;https://www.google.com/search?q=Horcrux%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","extreme_psycore","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
"psycore","Inner Coma","We Are Gods (DAiiVa Rmx)","Black Out Records","195","195 BPM in Bandcamp title","2026-04-20","461","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/we-are-gods-daiiva-rmx-195","bc:1367266332","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Inner Coma entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Inner Coma quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia extreme_psycore.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Inner%20Coma;https://soundcloud.com/search?q=Inner%20Coma;https://www.youtube.com/results?search_query=Inner%20Coma%20psycore;https://www.google.com/search?q=Inner%20Coma%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","extreme_psycore","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
"psycore","Ixotul & Flowrest","Something About Night","Black Out Records","195","195 BPM in Bandcamp title","2026-04-20","407","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/something-about-night-195","bc:471322580","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Ixotul & Flowrest entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Ixotul & Flowrest quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia extreme_psycore.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Ixotul%20%26%20Flowrest;https://soundcloud.com/search?q=Ixotul%20%26%20Flowrest;https://www.youtube.com/results?search_query=Ixotul%20%26%20Flowrest%20psycore;https://www.google.com/search?q=Ixotul%20%26%20Flowrest%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","extreme_psycore","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
"psycore","Jonny Crash","Flight of the Hummingbird","Black Out Records","195","195 BPM in Bandcamp title","2026-04-20","715","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/flight-of-the-hummingbird-195","bc:2901134591","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Jonny Crash entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Jonny Crash quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia extreme_psycore.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Jonny%20Crash;https://soundcloud.com/search?q=Jonny%20Crash;https://www.youtube.com/results?search_query=Jonny%20Crash%20psycore;https://www.google.com/search?q=Jonny%20Crash%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","extreme_psycore","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
"psycore","Logic Ufo & Quantum Partickles & Astrologic","Sealed Majestic","Black Out Records","200","200 BPM in Bandcamp title","2026-04-20","432","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/sealed-majestic-200","bc:3194641378","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Logic Ufo & Quantum Partickles & Astrologic entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Logic Ufo & Quantum Partickles & Astrologic quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia extreme_psycore.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Logic%20Ufo%20%26%20Quantum%20Partickles%20%26%20Astrologic;https://soundcloud.com/search?q=Logic%20Ufo%20%26%20Quantum%20Partickles%20%26%20Astrologic;https://www.youtube.com/results?search_query=Logic%20Ufo%20%26%20Quantum%20Partickles%20%26%20Astrologic%20psycore;https://www.google.com/search?q=Logic%20Ufo%20%26%20Quantum%20Partickles%20%26%20Astrologic%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","extreme_psycore","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
"psycore","Mentalecho & Killatk","Tarantino","Black Out Records","190","190 BPM in Bandcamp title","2026-04-20","424","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/tarantino-190","bc:1319162842","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Mentalecho & Killatk entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Mentalecho & Killatk quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia extreme_psycore.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Mentalecho%20%26%20Killatk;https://soundcloud.com/search?q=Mentalecho%20%26%20Killatk;https://www.youtube.com/results?search_query=Mentalecho%20%26%20Killatk%20psycore;https://www.google.com/search?q=Mentalecho%20%26%20Killatk%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","extreme_psycore","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
"psycore","Metahuman","They Come from Another World!","Black Out Records","190","190 BPM in Bandcamp title","2026-04-20","334","International","","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://blackoutrec.bandcamp.com/track/they-come-from-another-world-190","bc:723677889","bandcamp_jsonld_hitech_psycore_adjacent","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","Metahuman entrou no catalogo psycore do Sonic Search via VA Flight of The Hummingbird, com faixa rastreavel em Black Out Records e contexto hitech_psycore_adjacent.","Use Metahuman quando o usuario pedir psycore, hi-tech, darkpsy ou velocidade experimental; energia extreme_psycore.","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Metahuman;https://soundcloud.com/search?q=Metahuman;https://www.youtube.com/results?search_query=Metahuman%20psycore;https://www.google.com/search?q=Metahuman%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Electronic;Hitech;Hitech Psytrance;Psytrance hi-tech;hightech;psytrance;Germany;psycore-adjacent;hitech-bridge","extreme_psycore","hitech_psycore_adjacent","published","medium_high","Bandcamp JSON-LD exposes a 2026 hightech VA with explicit 160-220 BPM titles; included as psycore-adjacent high BPM bridge material."
